topic_id,title_label,title_category,title_classification,abstract_label,abstract_category,abstract_classification,overlap_keywords,difference_note,title_paper_count,abstract_paper_count
0,Digital Privacy and Disclosure Concerns,Human-Computer Interaction,MAPPED,Conversational AI and Human Interaction,Artificial Intelligence,MAPPED,trust,The most meaningful difference between the two topic representations is the focus on digital privacy and human-computer interaction in the title-based topic versus the emphasis on conversational AI and human interaction in the abstract-based topic.,55,166
1,Gaming Disorder and Online Behavior,Healthcare & Bioinformatics,MAPPED,"Study on older, adults, elderly",Other,MAPPED,none,"The most meaningful difference between the two topic representations is that the title-based topic focuses on gaming disorder and online behavior, while the abstract-based topic focuses on a study of older adults and their technology use.",52,62
2,Technology Adoption and Acceptance Factors,Information Systems,MAPPED,Digital Privacy and Security Concerns,Social Sciences,MAPPED,none,"The most meaningful difference between the two topic representations is that they have distinct labels, categories, and keywords, indicating that they focus on different aspects of technology, with one emphasizing adoption and acceptance and the other digital privacy and security concerns.",47,58
3,Human-Computer Interaction Techniques,Human-Computer Interaction,MAPPED,Gaming and User Engagement Patterns,Human-Computer Interaction,MAPPED,none,"The most meaningful difference between the two topic representations is that the title-based topic focuses on interaction techniques, while the abstract-based topic focuses on gaming and user engagement patterns within the context of human-computer interaction.",45,52
4,Cybersecurity and Employee Behaviour,Cybersecurity,MAPPED,Virtual Reality and Immersive Training,Robotics & Automation,MAPPED,none,"The most meaningful difference between the two topic representations is that they have distinct labels and categories, with one focusing on cybersecurity and the other on robotics and automation.",41,46
5,Consumer Behavior in E-commerce,Social Sciences,MAPPED,Persuasive Systems Design in Health,Healthcare & Bioinformatics,MAPPED,none,"The most meaningful difference between these two topic representations is that they describe distinct concepts, with one focused on consumer behavior in e-commerce and the other on persuasive systems design in health.",38,41
6,Gamification and Motivation in Learning,Education Technology,MAPPED,Healthcare Technology and Patient Care,Healthcare & Bioinformatics,MAPPED,none,"The most meaningful difference between the two topic representations is that they have distinct labels, categories, and keywords, indicating that they represent different topics despite both being classified as ""MAPPED"".",29,33
7,Internet Addiction in Adolescents and Families,Healthcare & Bioinformatics,MAPPED,Online Shopping Behavior and Consumer Experience,Social Sciences,MAPPED,internet,Minor or no significant difference,28,32
8,Knowledge Sharing in Virtual Communities,Information Systems,MAPPED,Internet Addiction and Adolescent Behavior,Social Sciences,MAPPED,none,Minor or no significant difference,27,28
9,Human-Computer Interaction in Software Development,Human-Computer Interaction,MAPPED,Gamification in Learning and Interaction,Education Technology,MAPPED,none,Minor or no significant difference,23,27
